school,win,loss,pct
Air Force,5,7,0.416666667
Akron,7,7,0.5
Alabama,13,1,0.928571429
Alabama at Birmingham,4,7,0.363636364
Appalachian State,9,4,0.692307692
Arizona,5,4,0.555555556
Arizona State,6,3,0.666666667
Arkansas,1,7,0.125
Arkansas State,6,2,0.75
Army,10,3,0.769230769
Auburn,10,4,0.714285714
Ball State,2,10,0.166666667
Baylor,1,11,0.083333333
Boise State,11,3,0.785714286
Boston College,7,6,0.538461538
Bowling Green,2,10,0.166666667
Brigham Young,4,9,0.307692308
Buffalo,6,6,0.5
California,5,7,0.416666667
Central Florida,13,0,1
Central Michigan,8,5,0.615384615
Charlotte,1,11,0.083333333
Cincinnati,4,8,0.333333333
Clemson,12,2,0.857142857
Coastal Carolina,3,9,0.25
Colorado,5,7,0.416666667
Colorado State,7,6,0.538461538
Connecticut,3,9,0.25
Duke,7,6,0.538461538
East Carolina,3,9,0.25
Eastern Michigan,5,7,0.416666667
Florida,4,7,0.363636364
Florida Atlantic,11,3,0.785714286
Florida International,8,5,0.615384615
Florida State,7,6,0.538461538
Fresno State,10,4,0.714285714
Georgia,13,2,0.866666667
Georgia Southern,2,10,0.166666667
Georgia State,7,5,0.583333333
Georgia Tech,5,6,0.454545455
Hawaii,3,9,0.25
Houston,7,5,0.583333333
Illinois,2,10,0.166666667
Indiana,5,7,0.416666667
Iowa,8,5,0.615384615
Iowa State,8,5,0.615384615
Kansas,1,11,0.083333333
Kansas State,8,5,0.615384615
Kent State,2,10,0.166666667
Kentucky,7,6,0.538461538
Liberty,6,5,0.545454545
Louisiana Tech,7,6,0.538461538
Louisiana-Lafayette,5,7,0.416666667
Louisiana-Monroe,4,8,0.333333333
Louisville,8,5,0.615384615
LSU,9,4,0.692307692
Marshall,8,5,0.615384615
Maryland,4,8,0.333333333
Massachusetts,4,8,0.333333333
Memphis,10,3,0.769230769
Miami (Fla.),10,3,0.769230769
Miami (Ohio),5,7,0.416666667
Michigan,8,5,0.615384615
Michigan State,10,3,0.769230769
Middle Tennessee,7,6,0.538461538
Minnesota,5,7,0.416666667
Mississippi,6,6,0.5
Mississippi State,9,4,0.692307692
Missouri,7,6,0.538461538
Navy,7,6,0.538461538
Nebraska,4,8,0.333333333
"Nevada	",3,9,0.25
Nevada-Las Vegas,5,7,0.416666667
New Mexico,3,9,0.25
New Mexico State,7,6,0.538461538
North Carolina,3,9,0.25
North Carolina State,9,4,0.692307692
North Texas,9,5,0.642857143
Northern Illinois,8,5,0.615384615
Northwestern,10,3,0.769230769
Notre Dame,10,3,0.769230769
Ohio,9,4,0.692307692
Ohio State,12,2,0.857142857
Oklahoma,12,2,0.857142857
Oklahoma State,10,3,0.769230769
Old Dominion,5,7,0.416666667
Oregon,7,6,0.538461538
Oregon State,1,11,0.083333333
Penn State,11,2,0.846153846
Pittsburgh,5,7,0.416666667
Purdue,7,6,0.538461538
Rice,1,11,0.083333333
Rutgers,4,8,0.333333333
San Diego State,10,3,0.769230769
San Jose State,2,11,0.153846154
South Alabama,4,8,0.333333333
South Carolina,9,4,0.692307692
South Florida,10,2,0.833333333
Southern California,11,3,0.785714286
Southern Methodist,7,6,0.538461538
Southern Mississippi,8,5,0.615384615
Stanford,9,5,0.642857143
Syracuse,4,8,0.333333333
Temple,7,6,0.538461538
Tennessee,4,8,0.333333333
Texas,7,6,0.538461538
Texas A&M,7,6,0.538461538
Texas Christian,11,3,0.785714286
Texas State,2,10,0.166666667
Texas Tech,6,7,0.461538462
Texas-El Paso,0,12,0
Texas-San Antonio,6,5,0.545454545
Toledo,11,3,0.785714286
Troy,11,2,0.846153846
Tulane,5,7,0.416666667
Tulsa,2,10,0.166666667
UCLA,6,7,0.461538462
Utah,7,6,0.538461538
Utah State,6,7,0.461538462
Vanderbilt,5,7,0.416666667
Virginia,6,7,0.461538462
Virginia Tech,9,4,0.692307692
Wake Forest,8,5,0.615384615
Washington,10,3,0.769230769
Washington State,9,4,0.692307692
West Virginia,7,6,0.538461538
Western Kentucky,6,7,0.461538462
Western Michigan,6,6,0.5
Wisconsin,13,1,0.928571429
Wyoming,8,5,0.615384615
